URL,CrawledStatus,LikelyCause,RequiredFixes,CanonicalShouldBe,JSONLD_Headline,AddToInternalLinks,SitemapsToTouch,SuggestedLastmod,Priority
https://nrlc.ai/en-us/blog/blog-post-102/,never_crawled,Never crawled (queue deprioritized); Thin/templated content or low internal priority,Add strong internal links from homepage and related posts; Ensure XML sitemap lists this URL with fresh <lastmod>; Verify canonical equals self and page returns 200; Add unique Article JSON-LD with headline/description/datePublished,https://nrlc.ai/en-us/blog/blog-post-102/,Blog Post 102,Yes,"sitemap.xml, sitemap-posts.xml",2025-10-18,High
https://nrlc.ai/en-us/blog/blog-post-121/,never_crawled,Never crawled (queue deprioritized); Thin/templated content or low internal priority,Add strong internal links from homepage and related posts; Ensure XML sitemap lists this URL with fresh <lastmod>; Verify canonical equals self and page returns 200; Add unique Article JSON-LD with headline/description/datePublished,https://nrlc.ai/en-us/blog/blog-post-121/,Blog Post 121,Yes,"sitemap.xml, sitemap-posts.xml",2025-10-18,High
https://nrlc.ai/en-us/blog/blog-post-23/,never_crawled,Never crawled (queue deprioritized); Thin/templated content or low internal priority,Add strong internal links from homepage and related posts; Ensure XML sitemap lists this URL with fresh <lastmod>; Verify canonical equals self and page returns 200; Add unique Article JSON-LD with headline/description/datePublished,https://nrlc.ai/en-us/blog/blog-post-23/,Blog Post 23,Yes,"sitemap.xml, sitemap-posts.xml",2025-10-18,High
https://nrlc.ai/en-us/blog/blog-post-328/,never_crawled,Never crawled (queue deprioritized); Thin/templated content or low internal priority,Add strong internal links from homepage and related posts; Ensure XML sitemap lists this URL with fresh <lastmod>; Verify canonical equals self and page returns 200; Add unique Article JSON-LD with headline/description/datePublished,https://nrlc.ai/en-us/blog/blog-post-328/,Blog Post 328,Yes,"sitemap.xml, sitemap-posts.xml",2025-10-18,High
https://nrlc.ai/en-us/blog/blog-post-366/,never_crawled,Never crawled (queue deprioritized); Thin/templated content or low internal priority,Add strong internal links from homepage and related posts; Ensure XML sitemap lists this URL with fresh <lastmod>; Verify canonical equals self and page returns 200; Add unique Article JSON-LD with headline/description/datePublished,https://nrlc.ai/en-us/blog/blog-post-366/,Blog Post 366,Yes,"sitemap.xml, sitemap-posts.xml",2025-10-18,High
https://nrlc.ai/en-us/blog/blog-post-380/,never_crawled,Never crawled (queue deprioritized); Thin/templated content or low internal priority,Add strong internal links from homepage and related posts; Ensure XML sitemap lists this URL with fresh <lastmod>; Verify canonical equals self and page returns 200; Add unique Article JSON-LD with headline/description/datePublished,https://nrlc.ai/en-us/blog/blog-post-380/,Blog Post 380,Yes,"sitemap.xml, sitemap-posts.xml",2025-10-18,High
https://nrlc.ai/en-us/blog/blog-post-383/,never_crawled,Never crawled (queue deprioritized); Thin/templated content or low internal priority,Add strong internal links from homepage and related posts; Ensure XML sitemap lists this URL with fresh <lastmod>; Verify canonical equals self and page returns 200; Add unique Article JSON-LD with headline/description/datePublished,https://nrlc.ai/en-us/blog/blog-post-383/,Blog Post 383,Yes,"sitemap.xml, sitemap-posts.xml",2025-10-18,High
https://nrlc.ai/en-us/blog/blog-post-411/,never_crawled,Never crawled (queue deprioritized); Thin/templated content or low internal priority,Add strong internal links from homepage and related posts; Ensure XML sitemap lists this URL with fresh <lastmod>; Verify canonical equals self and page returns 200; Add unique Article JSON-LD with headline/description/datePublished,https://nrlc.ai/en-us/blog/blog-post-411/,Blog Post 411,Yes,"sitemap.xml, sitemap-posts.xml",2025-10-18,High
https://nrlc.ai/en-us/blog/blog-post-419/,never_crawled,Never crawled (queue deprioritized); Thin/templated content or low internal priority,Add strong internal links from homepage and related posts; Ensure XML sitemap lists this URL with fresh <lastmod>; Verify canonical equals self and page returns 200; Add unique Article JSON-LD with headline/description/datePublished,https://nrlc.ai/en-us/blog/blog-post-419/,Blog Post 419,Yes,"sitemap.xml, sitemap-posts.xml",2025-10-18,High
https://nrlc.ai/en-us/blog/blog-post-473/,never_crawled,Never crawled (queue deprioritized); Thin/templated content or low internal priority,Add strong internal links from homepage and related posts; Ensure XML sitemap lists this URL with fresh <lastmod>; Verify canonical equals self and page returns 200; Add unique Article JSON-LD with headline/description/datePublished,https://nrlc.ai/en-us/blog/blog-post-473/,Blog Post 473,Yes,"sitemap.xml, sitemap-posts.xml",2025-10-18,High
