locale,service_url,primary_keyword,secondary_keywords,schema_type,canonical,internal_links,content_requirements,priority_score,service_mapping,service_slug,city_slug
en-us,https://nrlc.ai/services/site-audits/san-francisco/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/services/site-audits/san-francisco/,"/services/crawl-clarity/ | /services/json-ld-strategy/ | /services/llm-seeding/ | /services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,site-audits,san-francisco
de-de,https://nrlc.ai/de-de/services/mobile-seo-ai/singapore/,"mobile seo services chicago",,Service,https://nrlc.ai/de-de/services/mobile-seo-ai/singapore/,"/de-de/services/crawl-clarity/ | /de-de/services/json-ld-strategy/ | /de-de/services/llm-seeding/ | /de-de/services/ai-overview-optimization/","Include primary keyword: 'mobile seo services chicago' in H1 and first paragraph",3,mobile_ai_seo,mobile-seo-ai,singapore
en-gb,https://nrlc.ai/en-gb/services/generative-seo/glasgow/,"copilot seo tracker","perplexity optimisation services, generative engine optimisation glasgow, llm seeding, ongoing llm seo techniques",Service,https://nrlc.ai/en-gb/services/generative-seo/glasgow/,"/en-gb/services/crawl-clarity/ | /en-gb/services/json-ld-strategy/ | /en-gb/services/llm-seeding/ | /en-gb/services/ai-overview-optimization/","Include primary keyword: 'copilot seo tracker' in H1 and first paragraph; Reference secondary keywords: 'perplexity optimisation services', 'generative engine optimisation glasgow' in body content; Include LLM citation optimization strategies; Reference AI Overviews optimization",1.6,llm_strategy,generative-seo,glasgow
en-us,https://nrlc.ai/en-us/services/copilot-optimization/kuki/,"copilot seo tracker","perplexity optimisation services, generative engine optimisation glasgow, llm seeding, ongoing llm seo techniques",Service,https://nrlc.ai/en-us/services/copilot-optimization/kuki/,"/en-us/services/crawl-clarity/ | /en-us/services/json-ld-strategy/ | /en-us/services/llm-seeding/ | /en-us/services/ai-overview-optimization/","Include primary keyword: 'copilot seo tracker' in H1 and first paragraph; Reference secondary keywords: 'perplexity optimisation services', 'generative engine optimisation glasgow' in body content; Include LLM citation optimization strategies; Reference AI Overviews optimization",1.6,llm_strategy,copilot-optimization,kuki
es-es,https://nrlc.ai/es-es/services/site-audits/newcastle/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/es-es/services/site-audits/newcastle/,"/es-es/services/crawl-clarity/ | /es-es/services/json-ld-strategy/ | /es-es/services/llm-seeding/ | /es-es/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,site-audits,newcastle
fr-fr,https://nrlc.ai/fr-fr/services/site-audits/belfast/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/fr-fr/services/site-audits/belfast/,"/fr-fr/services/crawl-clarity/ | /fr-fr/services/json-ld-strategy/ | /fr-fr/services/llm-seeding/ | /fr-fr/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,site-audits,belfast
de-de,https://nrlc.ai/de-de/services/link-building-ai/southampton/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/de-de/services/link-building-ai/southampton/,"/de-de/services/crawl-clarity/ | /de-de/services/json-ld-strategy/ | /de-de/services/llm-seeding/ | /de-de/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,link-building-ai,southampton
en-gb,https://nrlc.ai/en-gb/services/copilot-optimization/san-francisco/,"copilot seo tracker","perplexity optimisation services, generative engine optimisation glasgow, llm seeding, ongoing llm seo techniques",Service,https://nrlc.ai/en-gb/services/copilot-optimization/san-francisco/,"/en-gb/services/crawl-clarity/ | /en-gb/services/json-ld-strategy/ | /en-gb/services/llm-seeding/ | /en-gb/services/ai-overview-optimization/","Include primary keyword: 'copilot seo tracker' in H1 and first paragraph; Reference secondary keywords: 'perplexity optimisation services', 'generative engine optimisation glasgow' in body content; Include LLM citation optimization strategies; Reference AI Overviews optimization",1.6,llm_strategy,copilot-optimization,san-francisco
en-gb,https://nrlc.ai/en-gb/services/b2b-seo-ai/southend-on-sea/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/en-gb/services/b2b-seo-ai/southend-on-sea/,"/en-gb/services/crawl-clarity/ | /en-gb/services/json-ld-strategy/ | /en-gb/services/llm-seeding/ | /en-gb/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,b2b-seo-ai,southend-on-sea
en-gb,https://nrlc.ai/en-gb/services/contextual-seo-ai/southport/,"open source seo software","open source seo tools, open source seo platform, seo services oshawa, seo service windsor",Service,https://nrlc.ai/en-gb/services/contextual-seo-ai/southport/,"/en-gb/services/crawl-clarity/ | /en-gb/services/json-ld-strategy/ | /en-gb/services/llm-seeding/ | /en-gb/services/ai-overview-optimization/","Include primary keyword: 'open source seo software' in H1 and first paragraph; Reference secondary keywords: 'open source seo tools', 'open source seo platform' in body content; Include technical SEO audit elements; Reference crawl clarity",1,ai_seo,contextual-seo-ai,southport
